code,pub_date,report_date,asof_date,type,profit_range,source,fetch_time
002156,2026-01-21,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:110,000万元至135,000万元,同比上年增长:62.34%至99.24%。",baostock,2026-07-03T17:32:52+08:00
002916,2026-01-28,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:315,431万元至334,206.66万元,同比上年增长:68%至78%。",baostock,2026-07-03T17:32:55+08:00
300236,2026-01-23,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:26,500万元至32,000万元,同比上年增长:50.82%至82.12%。",baostock,2026-07-03T17:32:58+08:00
300308,2026-01-31,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:980,000万元至1,180,000万元,同比上年增长:89.5%至128.17%。",baostock,2026-07-03T17:32:59+08:00
300394,2026-01-21,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:188,093.11万元至214,963.56万元,同比上年增长:40%至60%。",baostock,2026-07-03T17:33:00+08:00
300502,2026-01-30,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:940,000万元至990,000万元,同比上年增长:231.24%至248.86%。",baostock,2026-07-03T17:33:01+08:00
300604,2026-01-29,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:125,000万元至140,000万元,同比上年增长:172.67%至205.39%。",baostock,2026-07-03T17:33:02+08:00
600703,2026-01-13,2025-12-31,2025-12-31,首亏,"预计2025年1-12月归属于上市公司股东的净利润亏损:20,000万元至40,000万元。",baostock,2026-07-03T17:33:04+08:00
603986,2026-01-23,2025-12-31,2025-12-31,略增,"预计2025年1-12月归属于上市公司股东的净利润盈利约:161,000万元,同比上年增长:46%左右,同比上年增长50,746万元左右。",baostock,2026-07-03T17:33:06+08:00
688008,2026-01-17,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:215,000万元至235,000万元,同比上年增长:52.29%至66.46%。",baostock,2026-07-03T17:33:08+08:00
688012,2026-01-24,2025-12-31,2025-12-31,略增,"预计2025年1-12月归属于上市公司股东的净利润盈利:208,000万元至218,000万元,同比上年增长:28.74%至34.93%,同比上年增长46,400万元至56,400万元。",baostock,2026-07-03T17:33:09+08:00
688019,2026-01-29,2025-12-31,2025-12-31,略增,"预计2025年1-12月归属于上市公司股东的净利润盈利约:79,500万元,同比上年增长:48.98%左右,同比上年增长26,135.64万元左右。",baostock,2026-07-03T17:33:10+08:00
688037,2026-01-27,2025-12-31,2025-12-31,预减,"预计2025年1-12月归属于上市公司股东的净利润盈利:5,200万元至7,600万元,同比上年下降:62.53%至74.36%,同比上年降低12,681.2万元至15,081.2万元。",baostock,2026-07-03T17:33:12+08:00
688041,2026-02-26,2026-03-31,2026-03-31,略增,"预计2026年1-3月归属于上市公司股东的净利润盈利:62,000万元至72,000万元,同比上年增长:22.56%至42.32%,同比上年增长11,410.58万元至21,410.58万元。",baostock,2026-07-03T17:33:13+08:00
688126,2026-01-15,2025-12-31,2025-12-31,增亏,"预计2025年1-12月归属于上市公司股东的净利润亏损:128,000万元至153,000万元,同比上年降低30,946.29万元至55,946.29万元。",baostock,2026-07-03T17:33:18+08:00
688200,2026-01-23,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:48,891万元至59,391万元,同比上年增长:46%至78%,同比上年增长15,500万元至26,000万元。",baostock,2026-07-03T17:33:20+08:00
688256,2026-01-31,2025-12-31,2025-12-31,扭亏,"预计2025年1-12月归属于上市公司股东的净利润盈利:185,000万元至215,000万元。",baostock,2026-07-03T17:33:21+08:00
688313,2026-01-28,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利约:34,150万元,同比上年增长:425.95%左右,同比上年增长27,657万元左右。",baostock,2026-07-03T17:33:22+08:00
688525,2026-01-14,2025-12-31,2025-12-31,预增,"预计2025年1-12月归属于上市公司股东的净利润盈利:85,000万元至100,000万元,同比上年增长:427.19%至520.22%,同比上年增长68,876.66万元至83,876.66万元。",baostock,2026-07-03T17:33:24+08:00
